gene_id	tx_id(s)[RSEM]	tx_id(s)[tranquant]	tx_id_agreement	length[RSEM]	length[tranquant]	TPM[RSEM]	TPM[tranquant]	tpm_equality	tpm_difference
ENSMUSG00000006005	ENSMUST00000119161,ENSMUST00000124484,ENSMUST00000124973,ENSMUST00000128417,ENSMUST00000130779,ENSMUST00000131701,ENSMUST00000132257,ENSMUST00000132522,ENSMUST00000138718,ENSMUST00000141827,ENSMUST00000147769,ENSMUST00000150752,ENSMUST00000151563,ENSMUST00000152967	ENSMUST00000124973,ENSMUST00000119161,ENSMUST00000131701,ENSMUST00000141827,ENSMUST00000147769,ENSMUST00000132522,ENSMUST00000151563,ENSMUST00000150752,ENSMUST00000132257,ENSMUST00000152967,ENSMUST00000128417,ENSMUST00000124484,ENSMUST00000138718,ENSMUST00000130779	True	5215.33	57098	68.78	20.322628242524935	False	48.457371757475066
ENSMUSG00000043505	ENSMUST00000055558,ENSMUST00000135174,ENSMUST00000147047	ENSMUST00000055558	False	1953.00	8014	0.81	0.22944199636323537	False	0.5805580036367647
ENSMUSG00000028111	ENSMUST00000015664	ENSMUST00000015664	True	1482.00	10107	1.45	0.24690253585382402	False	1.203097464146176
ENSMUSG00000022234	ENSMUST00000022842,ENSMUST00000159121,ENSMUST00000159449,ENSMUST00000160174,ENSMUST00000161266	ENSMUST00000022842,ENSMUST00000160174,ENSMUST00000159449,ENSMUST00000161266,ENSMUST00000159121	True	1419.22	11005	49.14	17.81820601785206	False	31.32179398214794
ENSMUSG00000035274	ENSMUST00000006559,ENSMUST00000098500	ENSMUST00000006559,ENSMUST00000098500	True	3555.76	4661	4.68	8.397139659465788	False	3.717139659465788
ENSMUSG00000028926	ENSMUST00000030763,ENSMUST00000115450,ENSMUST00000115451,ENSMUST00000115452,ENSMUST00000131392,ENSMUST00000132390,ENSMUST00000133465,ENSMUST00000134867,ENSMUST00000137554,ENSMUST00000153331,ENSMUST00000155747,ENSMUST00000156660,ENSMUST00000167567,ENSMUST00000171119	ENSMUST00000115451,ENSMUST00000030763,ENSMUST00000115450,ENSMUST00000115452,ENSMUST00000133465,ENSMUST00000156660,ENSMUST00000134867,ENSMUST00000132390,ENSMUST00000153331,ENSMUST00000171119,ENSMUST00000131392,ENSMUST00000167567,ENSMUST00000137554	False	3041.57	616922	37.25	0.9303479270817993	False	36.3196520729182
ENSMUSG00000093424	ENSMUST00000176569	ENSMUST00000098867,ENSMUST00000176569	False	557.00	8060	0.86	0.13036144337858688	False	0.7296385566214131
ENSMUSG00000020576	ENSMUST00000042953	ENSMUST00000042953	True	7239.00	314679	4.10	0.11227388062392525	False	3.9877261193760742
ENSMUSG00000070933	ENSMUST00000095006,ENSMUST00000119100	ENSMUST00000119100	False	857.00	4801	0.41	0.08206987348714409	False	0.3279301265128559
ENSMUSG00000086907	ENSMUST00000145916	ENSMUST00000145916	True	1212.00	1874	0.28	0.2102547826103409	False	0.06974521738965914
ENSMUSG00000010914	ENSMUST00000011058,ENSMUST00000111183,ENSMUST00000132449	ENSMUST00000011058,ENSMUST00000111183,ENSMUST00000132449	True	1649.42	52439	8.89	0.5710506904879039	False	8.318949309512096
ENSMUSG00000029387	ENSMUST00000031333,ENSMUST00000126466,ENSMUST00000142746,ENSMUST00000143810,ENSMUST00000153436	ENSMUST00000031333,ENSMUST00000126466,ENSMUST00000153436,ENSMUST00000142746	False	1331.08	18541	4.10	0.6658691815527248	False	3.434130818447275
ENSMUSG00000021385	ENSMUST00000021817	ENSMUST00000021817	True	2776.00	43325	0.84	0.063661217271378	False	0.776338782728622
ENSMUSG00000074867	ENSMUST00000099449	ENSMUST00000099449	True	2571.00	106259	1.51	0.11865873764647628	False	1.3913412623535237
ENSMUSG00000078190	ENSMUST00000139662,ENSMUST00000178978	ENSMUST00000139662,ENSMUST00000178978	True	7926.37	7928	1.26	3.0151016731981057	False	1.7551016731981057
ENSMUSG00000028451	ENSMUST00000030163,ENSMUST00000139127	ENSMUST00000030163,ENSMUST00000139127	True	3726.00	14037	0.03	0.9450206293792516	False	0.9150206293792515
ENSMUSG00000030806	ENSMUST00000106267,ENSMUST00000156135	ENSMUST00000106267,ENSMUST00000156135	True	4260.42	20650	42.32	11.066834300960375	False	31.253165699039627
ENSMUSG00000023036	ENSMUST00000003599,ENSMUST00000044851,ENSMUST00000055935,ENSMUST00000061279,ENSMUST00000066140,ENSMUST00000066149,ENSMUST00000073447,ENSMUST00000076807,ENSMUST00000091935	ENSMUST00000066140	False	4752.63	26795	67.04	7.024034632365231	False	60.01596536763478
ENSMUSG00000039977	ENSMUST00000045513,ENSMUST00000115592,ENSMUST00000115593,ENSMUST00000137164,ENSMUST00000152377	ENSMUST00000115592,ENSMUST00000045513,ENSMUST00000137164,ENSMUST00000152377,ENSMUST00000115593	True	1379.40	68070	1.23	0.08489676487399378	False	1.1451032351260062
ENSMUSG00000021552	ENSMUST00000091579	ENSMUST00000091579	True	1518.00	42354	7.16	0.2976946404962205	False	6.86230535950378
ENSMUSG00000022762	ENSMUST00000037785,ENSMUST00000067602	ENSMUST00000037785,ENSMUST00000067602	True	3636.09	426132	40.08	0.6370749714631044	False	39.44292502853689
ENSMUSG00000034799	ENSMUST00000030170,ENSMUST00000175780,ENSMUST00000175909,ENSMUST00000176127,ENSMUST00000176426,ENSMUST00000176777,ENSMUST00000177032,ENSMUST00000177517	ENSMUST00000030170,ENSMUST00000177517,ENSMUST00000175909,ENSMUST00000177032,ENSMUST00000176127,ENSMUST00000176426,ENSMUST00000176777,ENSMUST00000175780	True	6746.49	47341	19.00	6.095184338861157	False	12.904815661138844
ENSMUSG00000025076	ENSMUST00000026062	ENSMUST00000026062	True	2350.00	45216	1.19	0.07261763214565987	False	1.11738236785434
ENSMUSG00000029832	ENSMUST00000005103,ENSMUST00000061507,ENSMUST00000160133	ENSMUST00000005103,ENSMUST00000061507,ENSMUST00000160133	True	2309.90	26099	9.44	1.253053733736068	False	8.18694626626393
ENSMUSG00000062729	ENSMUST00000073120,ENSMUST00000126765,ENSMUST00000133050,ENSMUST00000145019,ENSMUST00000151442,ENSMUST00000152689,ENSMUST00000155083	ENSMUST00000155083,ENSMUST00000073120,ENSMUST00000152689,ENSMUST00000151442,ENSMUST00000133050	False	4138.53	5198	0.95	2.0719143218010685	False	1.1219143218010685
ENSMUSG00000066797	ENSMUST00000086195	ENSMUST00000086195	True	1877.00	4503	0.12	0.05833406804527039	False	0.06166593195472961
ENSMUSG00000078700	ENSMUST00000107628,ENSMUST00000131501,ENSMUST00000135825	ENSMUST00000131501,ENSMUST00000135825,ENSMUST00000107628	True	2411.90	48791	2.34	0.18035546169709704	False	2.159644538302903
ENSMUSG00000025498	ENSMUST00000026571,ENSMUST00000097952,ENSMUST00000106023,ENSMUST00000123525,ENSMUST00000127161,ENSMUST00000127223,ENSMUST00000131399,ENSMUST00000146373,ENSMUST00000148414,ENSMUST00000155744,ENSMUST00000156938	ENSMUST00000156938	False	740.00	3776	0.16	0.03478261499044658	False	0.12521738500955343
ENSMUSG00000038801	ENSMUST00000035300	ENSMUST00000035300	True	436.00	1223	0.57	0.21478193655588926	False	0.35521806344411067
ENSMUSG00000036661	ENSMUST00000043414,ENSMUST00000159322,ENSMUST00000160267,ENSMUST00000160727,ENSMUST00000162488,ENSMUST00000162824,ENSMUST00000173292	ENSMUST00000043414,ENSMUST00000173292,ENSMUST00000162488,ENSMUST00000160267,ENSMUST00000159322,ENSMUST00000160727	False	1014.60	59683	3.74	0.21786063479028706	False	3.5221393652097133
ENSMUSG00000020736	ENSMUST00000021082,ENSMUST00000106530,ENSMUST00000124778,ENSMUST00000125940,ENSMUST00000130668	ENSMUST00000106530,ENSMUST00000021082,ENSMUST00000124778,ENSMUST00000125940,ENSMUST00000130668	True	858.00	1443	6.63	11.923374359469399	False	5.293374359469399
ENSMUSG00000035429	ENSMUST00000049113,ENSMUST00000166650	ENSMUST00000166650,ENSMUST00000049113	True	3495.00	55430	0.03	0.009477839018865328	False	0.02052216098113467
ENSMUSG00000081943	ENSMUST00000119126	ENSMUST00000119126	True	617.00	799	0.19	0.16437941702619058	False	0.025620582973809425
ENSMUSG00000004610	ENSMUST00000004729,ENSMUST00000143096,ENSMUST00000155468	ENSMUST00000004729,ENSMUST00000143096,ENSMUST00000155468	True	868.00	13718	3.34	0.40211725299350515	False	2.9378827470064945
ENSMUSG00000095325	ENSMUST00000178401	ENSMUST00000178401	True	5126.00	12424	1.01	0.49685610492470506	False	0.5131438950752949
ENSMUSG00000048899	ENSMUST00000049994,ENSMUST00000126728	ENSMUST00000049994,ENSMUST00000126728	True	4097.00	27346	12.44	2.804873329009469	False	9.63512667099053
ENSMUSG00000097933	ENSMUST00000180397	ENSMUST00000180397	True	522.00	755	1.39	1.0437548678457718	False	0.34624513215422814
ENSMUSG00000037210	ENSMUST00000094867,ENSMUST00000180376,ENSMUST00000181379	ENSMUST00000180376,ENSMUST00000181379,ENSMUST00000094867	True	3845.26	116524	34.61	2.5924277802772857	False	32.017572219722716
ENSMUSG00000090053	ENSMUST00000102904,ENSMUST00000102905,ENSMUST00000131201,ENSMUST00000142556	ENSMUST00000102905,ENSMUST00000102904,ENSMUST00000142556,ENSMUST00000131201	True	3207.05	277770	32.62	1.0359797201310528	False	31.584020279868945
ENSMUSG00000019773	ENSMUST00000019907,ENSMUST00000142200	ENSMUST00000019907,ENSMUST00000142200	True	1940.00	6441	1.20	0.8972089403776986	False	0.30279105962230135
ENSMUSG00000052525	ENSMUST00000064420,ENSMUST00000124001,ENSMUST00000144142,ENSMUST00000167641	ENSMUST00000124001,ENSMUST00000064420,ENSMUST00000144142,ENSMUST00000167641	True	1768.50	37473	1.17	0.2558577711121773	False	0.9141422288878227
ENSMUSG00000024410	ENSMUST00000025276,ENSMUST00000126523,ENSMUST00000127123,ENSMUST00000134046,ENSMUST00000134756,ENSMUST00000138866,ENSMUST00000139151,ENSMUST00000153233,ENSMUST00000155431	ENSMUST00000126523,ENSMUST00000025276,ENSMUST00000155431,ENSMUST00000127123,ENSMUST00000134046,ENSMUST00000138866,ENSMUST00000139151,ENSMUST00000153233,ENSMUST00000134756	True	1049.62	21942	9.94	1.9274089715460878	False	8.012591028453912
ENSMUSG00000055795	ENSMUST00000069552	ENSMUST00000069552	True	444.00	436	0.42	459.9882763059528	False	459.5682763059528
ENSMUSG00000081285	ENSMUST00000118792	ENSMUST00000118792	True	825.00	825	0.28	0.31839794958527584	False	0.038397949585275815
ENSMUSG00000033419	ENSMUST00000036347,ENSMUST00000074468,ENSMUST00000074501,ENSMUST00000098495,ENSMUST00000167014	ENSMUST00000098495,ENSMUST00000074501,ENSMUST00000167014,ENSMUST00000036347,ENSMUST00000074468	True	4270.86	114732	66.09	10.887692148951842	False	55.20230785104816
ENSMUSG00000082938	ENSMUST00000118681	ENSMUST00000118681	True	990.00	990	28.41	43.51438644332103	False	15.10438644332103
ENSMUSG00000071757	ENSMUST00000096430,ENSMUST00000160990	ENSMUST00000096430,ENSMUST00000160990	True	4377.00	145168	7.21	0.26418379413883547	False	6.945816205861164
ENSMUSG00000054459	ENSMUST00000072299	ENSMUST00000072299	True	1934.00	111372	890.41	18.076056420265257	False	872.3339435797348
ENSMUSG00000027176	ENSMUST00000028599,ENSMUST00000122900,ENSMUST00000124944,ENSMUST00000126539,ENSMUST00000131761,ENSMUST00000137961	ENSMUST00000028599,ENSMUST00000137961,ENSMUST00000122900,ENSMUST00000124944,ENSMUST00000131761,ENSMUST00000126539	True	1921.31	74907	13.63	0.5225021420263798	False	13.107497857973621
ENSMUSG00000089713	ENSMUST00000162545	ENSMUST00000162545	True	3010.00	19033	1.58	0.31052708134170554	False	1.2694729186582945
ENSMUSG00000073879	ENSMUST00000165401	ENSMUST00000165401	True	2324.00	2324	3.38	17.688965260683705	False	14.308965260683706
ENSMUSG00000024052	ENSMUST00000053173,ENSMUST00000125665,ENSMUST00000126681,ENSMUST00000129635,ENSMUST00000130750,ENSMUST00000133156,ENSMUST00000135589,ENSMUST00000140150,ENSMUST00000142842,ENSMUST00000149973,ENSMUST00000154507,ENSMUST00000156565,ENSMUST00000156570	ENSMUST00000142842,ENSMUST00000156570,ENSMUST00000149973,ENSMUST00000129635,ENSMUST00000135589,ENSMUST00000126681,ENSMUST00000130750,ENSMUST00000140150,ENSMUST00000154507,ENSMUST00000133156,ENSMUST00000053173,ENSMUST00000156565,ENSMUST00000125665	True	3150.37	67258	22.24	4.479645837577789	False	17.76035416242221
ENSMUSG00000024087	ENSMUST00000024894	ENSMUST00000024894	True	5128.00	13525	3.77	1.699397559015682	False	2.070602440984318
ENSMUSG00000031445	ENSMUST00000033822	ENSMUST00000033822	True	2398.00	15113	0.42	0.07821427829255188	False	0.3417857217074481
ENSMUSG00000026277	ENSMUST00000027498,ENSMUST00000125778,ENSMUST00000133769,ENSMUST00000151068,ENSMUST00000154008	ENSMUST00000027498,ENSMUST00000151068,ENSMUST00000154008,ENSMUST00000125778,ENSMUST00000133769	True	1266.36	38909	104.70	10.656601552900236	False	94.04339844709976
ENSMUSG00000033730	ENSMUST00000035908	ENSMUST00000035908	True	1416.00	5412	1.84	0.5581671372302854	False	1.2818328627697146
ENSMUSG00000040380	ENSMUST00000063871,ENSMUST00000172378	ENSMUST00000063871,ENSMUST00000172378	True	2209.67	5480	0.71	0.5512409756734132	False	0.15875902432658673
ENSMUSG00000019990	ENSMUST00000020165,ENSMUST00000164195,ENSMUST00000166147,ENSMUST00000169016,ENSMUST00000169404,ENSMUST00000170265,ENSMUST00000170683	ENSMUST00000020165,ENSMUST00000169016,ENSMUST00000169404,ENSMUST00000170265,ENSMUST00000164195,ENSMUST00000166147	False	3290.96	327075	2.06	0.06826463720757463	False	1.9917353627924255
ENSMUSG00000032309	ENSMUST00000034859,ENSMUST00000133795,ENSMUST00000140375,ENSMUST00000146201,ENSMUST00000153970	ENSMUST00000034859,ENSMUST00000153970,ENSMUST00000140375,ENSMUST00000146201,ENSMUST00000133795	True	1981.43	15509	21.22	12.728270602134321	False	8.491729397865678
ENSMUSG00000038126	ENSMUST00000031344,ENSMUST00000128027,ENSMUST00000130502,ENSMUST00000141203,ENSMUST00000142498,ENSMUST00000143476,ENSMUST00000147737,ENSMUST00000149933,ENSMUST00000156013,ENSMUST00000156745,ENSMUST00000184951	ENSMUST00000031344,ENSMUST00000147737,ENSMUST00000184951,ENSMUST00000143476,ENSMUST00000128027,ENSMUST00000156745,ENSMUST00000142498,ENSMUST00000130502,ENSMUST00000141203,ENSMUST00000149933,ENSMUST00000156013	True	5608.63	77014	6.87	1.9390321023432646	False	4.9309678976567355
ENSMUSG00000003575	ENSMUST00000076615,ENSMUST00000125273,ENSMUST00000125613,ENSMUST00000142769,ENSMUST00000153632	ENSMUST00000076615,ENSMUST00000142769,ENSMUST00000125273,ENSMUST00000125613,ENSMUST00000153632	True	3539.70	57225	18.76	2.8528539742329464	False	15.907146025767055
ENSMUSG00000022914	ENSMUST00000023631,ENSMUST00000099502,ENSMUST00000113827,ENSMUST00000113829,ENSMUST00000124370,ENSMUST00000126629,ENSMUST00000127777,ENSMUST00000130823,ENSMUST00000131322,ENSMUST00000139566,ENSMUST00000147655,ENSMUST00000148432,ENSMUST00000152197,ENSMUST00000153398,ENSMUST00000156622,ENSMUST00000157037	ENSMUST00000023631,ENSMUST00000113827,ENSMUST00000099502	False	3202.00	90435	30.87	2.081152296945058	False	28.78884770305494
ENSMUSG00000033713	ENSMUST00000046859,ENSMUST00000085108,ENSMUST00000176311,ENSMUST00000176829,ENSMUST00000176928,ENSMUST00000176959,ENSMUST00000177269,ENSMUST00000177287,ENSMUST00000177451	ENSMUST00000046859,ENSMUST00000177451,ENSMUST00000176959,ENSMUST00000176829,ENSMUST00000176311,ENSMUST00000177269,ENSMUST00000177287,ENSMUST00000176928,ENSMUST00000085108	True	2648.33	373505	14.15	0.3934847285958515	False	13.75651527140415
ENSMUSG00000027751	ENSMUST00000170552	ENSMUST00000029315,ENSMUST00000170552	False	1968.00	35960	7.06	1.1906719763759723	False	5.8693280236240275
ENSMUSG00000062006	ENSMUST00000062601,ENSMUST00000079085,ENSMUST00000133802,ENSMUST00000135691	ENSMUST00000062601,ENSMUST00000079085,ENSMUST00000135691,ENSMUST00000133802	True	480.00	3568	7.90	4.638097934331477	False	3.261902065668523
ENSMUSG00000064016	ENSMUST00000081133	ENSMUST00000081133	True	1040.00	5733	0.33	0.068727971849255	False	0.261272028150745
ENSMUSG00000045382	ENSMUST00000052172,ENSMUST00000142893	ENSMUST00000052172,ENSMUST00000142893	True	1243.20	4095	0.64	0.38487664235582797	False	0.25512335764417204
